x,Location,Roll_No,Photo_No,Scale,Latitude,Longitude,Proj_No,Photo_Date,County,Obtained_from_Where,,,,mxd,Photo_Year
1,Wollaston Twp,CAS 90072,1,"6,000",44.86321,-77.84287,7-068,1990,Hastings,,,,,1,1990
2,Wollaston Twp,CAS 90072,3,"6,000",44.86506,-77.85094,7-068,1990,Hastings,,,,,2,1990
3,Wollaston Twp,CAS 90072,5,"6,000",44.8663,-77.85723,7-068,1990,Hastings,,,,,3,1990
4,Manvers Twp,A17179,32,"25,000",44.14993,-78.53742,0,1932,Victoria,,,,,4,1932
5,Manvers Twp,A141,57,"20,000",44.15889,-78.54111,0,6/19/28,Victoria,,,,,5,1928
6,Manvers Twp,A18214,16,"20,000",44.15639,-78.54167,0,8/06/64,Victoria,,,,,6,1964
7,Manvers Twp,A18755,90,"20,000",44.17167,-78.54667,0,4/29/64,Victoria,,,,,7,1964
8,Manvers Twp,A20969,147,"40,000",44.16139,-78.56056,0,5/27/69,Victoria,,,,,8,1969
9,Cavan Twp,A24340,187,"50,000",44.14472,-78.515,0,5/10/76,Peterborough,,,,,9,1976
10,Manvers Twp,A25686,14,"50,000",44.18056,-78.55167,0,4/30/81,Victoria,,,,,10,1981
11,Sudbury,30,166,"20,000",46.52852,-81.3034,10652-001,1/01/89,Rayside-Belfour Twp,,,,,11,1989
12,Sudbury,30,167,"20,000",46.52598,-81.27637,10652-001,1/01/89,Rayside-Belfour Twp,,,,,12,1989
13,Sudbury,30,168,"20,000",46.52944,-81.25579,10652-001,1/01/89,Rayside-Belfour Twp,,,,,13,1989
14,Cobourg,28,42,"16,000",43.96848,-78.17854,10541-001,1/01/71,Northumberland,,,,,14,1971
15,Cobourg,20,178,"16,000",43.95538,-78.16431,10541-001,1/01/54,Northumberland,,,,,15,1954
16,Dysart Twp; Haliburton,A18589,9,"15,000",45.19278,-78.16083,7777-316,8/30/64,Haliburton,,,,,17,1964
17,Dysart Twp; Haliburton,A25690,75,"50,000",45.19667,-78.18028,7777-316,5/06/81,Haliburton,,,,,18,1981
18,Dysart Twp; Haliburton,A27996,94,"50,000",45.16056,-78.16667,7777-316,11/18/93,Haliburton,,,,,19,1993
19,Emily Twp;,52,419,"10,000",44.33824,-78.56681,0,1/01/78,Victoria,,,,,23,1978
20,Emily Twp,52,420,"10,000",44.33908,-78.55697,0,1/01/78,Victoria,,,,,24,1978
21,Emily Twp,52,421,"10,000",44.33878,-78.54307,0,1/01/78,Victoria,,,,,25,1978
22,Emily Twp,52,422,"10,000",44.33892,-78.53193,0,1/01/78,Victoria,,,,,26,1978
23,Lakefield,96028,66,"15,000",44.42477,-78.26604,06-02-651,1/01/96,Peterborough,,,,,27,1996
